"","name","album","artist","release_date","length","popularity","danceability","acousticness","danceability.1","energy","instrumentalness","liveness","loudness","speechiness","tempo","time_signature","tempo_fs"
"903","Señorita","Shawn Mendes (Deluxe)","Shawn Mendes","2019-06-19",3.17998333333333,83,0.759,0.0392,0.759,0.548,0,0.0828,-6.049,0.029,116.967,4,"allegro"
"917","Calma - Remix","Calma (Remix)","Pedro Capó","2018-10-05",3.97,83,0.826,0.323,0.826,0.773,0,0.143,-4.218,0.0524,126.899,4,"allegro"
"922","bury a friend","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish","2019-03-29",3.21905,83,0.905,0.74,0.905,0.389,0.162,0.106,-14.505,0.332,120.046,4,"allegro"
"935","Going Bad (feat. Drake)","Championships","Meek Mill","2018-11-30",3.0087,83,0.889,0.259,0.889,0.496,0,0.252,-6.365,0.0905,86.003,4,"moderato"
"936","Don't Call Me Up","Ivy To Roses (Mixtape)","Mabel","2019-01-18",2.97466666666667,83,0.674,0.296,0.674,0.881,3.01e-06,0.0793,-2.853,0.147,98.994,4,"moderato"
"956","EARFQUAKE","IGOR","Tyler, The Creator","2019-05-17",3.16776666666667,83,0.554,0.23,0.554,0.498,5.98e-06,0.795,-8.866,0.0685,79.635,4,"andante"
"958","Never Really Over","Never Really Over","Katy Perry","2019-05-31",3.72538333333333,83,0.77,0.194,0.77,0.882,0,0.316,-4.792,0.0602,99.991,4,"moderato"
"989","3 Nights","Don't Forget About Me, Demos","Dominic Fike","2018-10-16",2.9611,83,0.815,0.223,0.815,0.518,0,0.104,-6.594,0.0897,151.891,4,"allegro"
"997","Hold Me While You Wait","Divinely Uninspired To A Hellish Extent","Lewis Capaldi","2019-05-17",3.4281,83,0.688,0.443,0.688,0.53,0,0.0995,-5.507,0.0333,106.958,4,"moderato"
"1","Love The Way You Lie","Recovery","Eminem","2010-06-18",4.38955,82,0.749,0.241,0.749,0.925,0,0.52,-5.034,0.227,86.989,4,"moderato"
"181","Paradise","Mylo Xyloto","Coldplay","2011-10-24",4.64531666666667,82,0.449,0.0522,0.449,0.585,8.49e-05,0.0833,-6.762,0.0268,139.627,4,"allegro"
"214","Payphone","Overexposed Track By Track","Maroon 5","2012-01-01",3.85288333333333,82,0.743,0.0188,0.743,0.752,0,0.287,-4.813,0.0414,110.015,4,"allegro"
"217","Just Give Me a Reason (feat. Nate Ruess)","The Truth About Love","P!nk","2012-09-18",4.04555,82,0.778,0.346,0.778,0.547,0.000302,0.132,-7.273,0.0489,95.002,4,"moderato"
"218","Locked out of Heaven","Unorthodox Jukebox","Bruno Mars","2012-12-07",3.8913,82,0.726,0.049,0.726,0.698,0,0.309,-4.165,0.0431,143.994,4,"allegro"
"232","Paradise","Mylo Xyloto","Coldplay","2011-10-24",4.64531666666667,82,0.449,0.0522,0.449,0.585,8.49e-05,0.0833,-6.762,0.0268,139.627,4,"allegro"
"305","Locked out of Heaven","Unorthodox Jukebox","Bruno Mars","2012-12-07",3.8913,82,0.726,0.049,0.726,0.698,0,0.309,-4.165,0.0431,143.994,4,"allegro"
"311","Just Give Me a Reason (feat. Nate Ruess)","The Truth About Love","P!nk","2012-09-18",4.04555,82,0.778,0.346,0.778,0.547,0.000302,0.132,-7.273,0.0489,95.002,4,"moderato"
"327","Counting Stars","Native","OneRepublic","2013-01-01",4.28776666666667,82,0.664,0.0654,0.664,0.705,0,0.118,-4.972,0.0382,122.016,4,"allegro"
"440","Outside (feat. Ellie Goulding)","Motion","Calvin Harris","2014-10-31",3.78776666666667,82,0.646,0.213,0.646,0.823,0,0.322,-4.123,0.0394,128.035,4,"allegro"
"539","Take Me To Church","Hozier","Hozier","2014-07-20",4.02813333333333,82,0.566,0.634,0.566,0.664,0,0.116,-5.303,0.0464,128.945,4,"allegro"
"550","The Nights","The Days / Nights","Avicii","2014-01-01",2.9443,82,0.527,0.0166,0.527,0.835,0,0.249,-5.298,0.0433,125.983,4,"allegro"
"554","Drag Me Down","Made In The A.M. (Deluxe Edition)","One Direction","2015-11-13",3.202,82,0.73,0.109,0.73,0.703,0,0.0657,-5.672,0.0369,138.113,4,"allegro"
"573","Outside (feat. Ellie Goulding)","Motion","Calvin Harris","2014-10-31",3.78776666666667,82,0.646,0.213,0.646,0.823,0,0.322,-4.123,0.0394,128.035,4,"allegro"
"586","Centuries","American Beauty/American Psycho","Fall Out Boy","2015-01-20",3.806,82,0.393,0.00359,0.393,0.858,0,0.102,-2.868,0.0729,176.042,4,"vivace"
"637","Heathens","Heathens","Twenty One Pilots","2016-06-16",3.26533333333333,82,0.732,0.0841,0.732,0.396,3.58e-05,0.105,-9.348,0.0286,90.024,4,"moderato"
"703","That's What I Like","24K Magic","Bruno Mars","2016-11-17",3.44488333333333,82,0.853,0.013,0.853,0.56,0,0.0944,-4.961,0.0406,134.066,4,"allegro"
"712","Whatever It Takes","Evolve","Imagine Dragons","2017-06-23",3.354,82,0.672,0.0362,0.672,0.655,0,0.117,-5.021,0.0311,134.945,4,"allegro"
"716","Unforgettable","Jungle Rules","French Montana","2017-07-14",3.89835,82,0.726,0.0293,0.726,0.769,0.0101,0.104,-5.043,0.123,97.985,4,"moderato"
"747","Location","American Teen","Khalid","2017-04-27",3.65133333333333,82,0.736,0.33,0.736,0.449,0.000162,0.0898,-11.462,0.425,80.126,4,"moderato"
"780","Silence","Silence","Marshmello","2017-08-11",3.0137,82,0.52,0.256,0.52,0.761,4.96e-06,0.17,-3.093,0.0853,141.971,4,"allegro"
"812","Psycho (feat. Ty Dolla $ign)","beerbongs & bentleys","Post Malone","2018-04-27",3.69066666666667,82,0.75,0.546,0.75,0.56,0,0.111,-8.094,0.105,140.06,4,"allegro"
"820","New Rules","Dua Lipa (Deluxe)","Dua Lipa","2017-06-02",3.48866666666667,82,0.762,0.00261,0.762,0.7,1.56e-05,0.153,-6.021,0.0694,116.073,4,"allegro"
"839","Ric Flair Drip (& Metro Boomin)","Without Warning","21 Savage","2017-10-30",2.88,82,0.88,0.149,0.88,0.428,5.07e-05,0.114,-8.28,0.206,100.007,4,"moderato"
"847","Too Good At Goodbyes","The Thrill Of It All (Special Edition)","Sam Smith","2017-11-03",3.35,82,0.681,0.64,0.681,0.372,0,0.169,-8.237,0.0432,91.873,4,"moderato"
"859","God is a woman","Sweetener","Ariana Grande","2018-08-17",3.29243333333333,82,0.602,0.0233,0.602,0.658,6e-05,0.237,-5.934,0.0558,145.031,4,"allegro"
"866","Eastside (with Halsey & Khalid)","Eastside (with Halsey & Khalid)","benny blanco","2018-07-12",2.89665,82,0.56,0.555,0.56,0.68,0,0.116,-7.648,0.321,89.391,4,"moderato"
"881","IDGAF","Dua Lipa (Deluxe)","Dua Lipa","2017-06-02",3.63243333333333,82,0.836,0.0403,0.836,0.544,0,0.0824,-5.975,0.0943,97.028,4,"moderato"
"893","Silence","Silence","Marshmello","2017-08-11",3.0137,82,0.52,0.256,0.52,0.761,4.96e-06,0.17,-3.093,0.0853,141.971,4,"allegro"
"896","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","2018-09-28",3.54166666666667,82,0.842,0.157,0.842,0.801,4.82e-06,0.0642,-4.167,0.228,95.881,4,"moderato"
"972","Post Malone (feat. RANI)","Magnets EP","Sam Feldt","2019-05-24",2.9074,82,0.59,0.0771,0.59,0.642,0,0.105,-3.87,0.122,107.356,4,"moderato"
"2","TiK ToK","Animal (Expanded Edition)","Kesha","2010-01-01",3.32821666666667,81,0.755,0.0991,0.755,0.837,0,0.289,-2.718,0.142,120.028,4,"allegro"
"3","Bad Romance","The Fame Monster (Deluxe Edition)","Lady Gaga","2009-11-05",4.90955,81,0.696,0.00314,0.696,0.921,5.24e-05,0.0842,-3.755,0.0363,119.001,4,"allegro"
"56","Empire State Of Mind","The Blueprint 3","JAY-Z","2009-09-08",4.61533333333333,81,0.491,0.0295,0.491,0.956,0,0.46,-1.538,0.392,173.585,4,"vivace"
"59","I Gotta Feeling","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]","Black Eyed Peas","2009-01-01",4.81888333333333,81,0.743,0.0873,0.743,0.766,0,0.509,-6.375,0.0265,127.96,4,"allegro"
"93","Fireflies","Ocean Eyes","Owl City","2009-01-01",3.80576666666667,81,0.512,0.0275,0.512,0.662,0,0.118,-6.797,0.0439,180.114,4,"vivace"
"393","Demons","Night Visions","Imagine Dragons","2012-09-04",2.95843333333333,81,0.505,0.19,0.505,0.71,0.00025,0.269,-3.015,0.0321,89.938,4,"moderato"
"401","Happy - From ""Despicable Me 2""","G I R L","Pharrell Williams","2014-03-03",3.87866666666667,81,0.647,0.219,0.647,0.822,0,0.0908,-4.662,0.183,160.019,4,"vivace"
