,A_major,A_minor,A#_major,A#_minor,B_major,B_minor,C_major,C_minor,C#_major,C#_minor,D_major,D_minor,D#_major,E_major,E_minor,F_major,F_minor,F#_major,F#_minor,G_major,G_minor,G#_major,G#_minor,D#_minor,Total,Max,Max_key
Aerosmith,66.0,4.0,2.0,3.0,2.0,15.0,28.0,4.0,7.0,2.0,59.0,2.0,2.0,28.0,9.0,17.0,10.0,3.0,4.0,25.0,3.0,4.0,1.0,2.0,302.0,66.0,A_major
The Offspring,15.0,3.0,2.0,5.0,4.0,5.0,22.0,2.0,2.0,0.0,13.0,3.0,1.0,7.0,15.0,2.0,11.0,2.0,8.0,17.0,2.0,9.0,2.0,4.0,156.0,22.0,C_major
Metallica,18.0,13.0,2.0,32.0,11.0,8.0,28.0,7.0,82.0,10.0,12.0,4.0,3.0,13.0,36.0,9.0,7.0,13.0,5.0,25.0,3.0,43.0,12.0,35.0,431.0,82.0,C#_major
R.E.M.,29.0,30.0,3.0,5.0,5.0,19.0,52.0,1.0,7.0,6.0,83.0,6.0,0.0,45.0,37.0,17.0,4.0,3.0,7.0,75.0,3.0,9.0,0.0,1.0,447.0,83.0,D_major
Blur,46.0,34.0,0.0,6.0,5.0,16.0,40.0,0.0,10.0,14.0,33.0,9.0,2.0,23.0,16.0,21.0,3.0,4.0,4.0,27.0,1.0,2.0,0.0,4.0,320.0,46.0,A_major
Adele,10.0,2.0,5.0,4.0,4.0,6.0,16.0,13.0,7.0,2.0,8.0,4.0,8.0,2.0,8.0,6.0,7.0,1.0,3.0,5.0,3.0,4.0,0.0,0.0,128.0,16.0,C_major
Rage Against the Machine,10.0,3.0,1.0,0.0,3.0,5.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,1.0,21.0,0.0,0.0,0.0,0.0,61.0,21.0,G_major
Death Cab for Cutie,18.0,5.0,4.0,0.0,2.0,7.0,22.0,2.0,1.0,1.0,18.0,4.0,7.0,13.0,6.0,5.0,0.0,3.0,3.0,14.0,2.0,1.0,1.0,0.0,139.0,22.0,C_major
Nickelback,13.0,3.0,6.0,13.0,5.0,7.0,19.0,0.0,1.0,1.0,13.0,1.0,3.0,9.0,0.0,14.0,8.0,5.0,2.0,17.0,4.0,8.0,0.0,2.0,154.0,19.0,C_major
Justin Timberlake,2.0,1.0,4.0,3.0,1.0,9.0,5.0,10.0,10.0,2.0,5.0,2.0,4.0,2.0,3.0,6.0,6.0,6.0,3.0,4.0,3.0,2.0,3.0,2.0,98.0,10.0,C_minor
The Smashing Pumpkins,7.0,7.0,5.0,0.0,0.0,10.0,7.0,2.0,8.0,1.0,36.0,1.0,5.0,7.0,2.0,8.0,2.0,2.0,3.0,22.0,7.0,1.0,0.0,1.0,144.0,36.0,D_major
MGMT,10.0,17.0,0.0,0.0,0.0,7.0,15.0,0.0,9.0,12.0,26.0,1.0,0.0,8.0,7.0,10.0,1.0,4.0,1.0,17.0,2.0,6.0,1.0,0.0,154.0,26.0,D_major
Johnny Cash,224.0,21.0,203.0,32.0,53.0,20.0,195.0,11.0,84.0,4.0,120.0,1.0,52.0,121.0,25.0,153.0,17.0,42.0,3.0,162.0,8.0,90.0,3.0,9.0,1653.0,224.0,A_major
Christina Aguilera,2.0,8.0,2.0,3.0,1.0,6.0,1.0,3.0,12.0,9.0,7.0,2.0,0.0,1.0,10.0,2.0,3.0,4.0,6.0,10.0,0.0,10.0,5.0,3.0,110.0,12.0,C#_major
David Guetta,37.0,37.0,23.0,23.0,20.0,58.0,47.0,16.0,25.0,29.0,44.0,5.0,7.0,20.0,27.0,13.0,20.0,18.0,8.0,38.0,10.0,28.0,14.0,8.0,575.0,58.0,B_minor
The Who,123.0,15.0,20.0,3.0,7.0,11.0,103.0,4.0,16.0,0.0,161.0,3.0,7.0,30.0,21.0,60.0,18.0,0.0,4.0,100.0,6.0,7.0,0.0,4.0,723.0,161.0,D_major
Jimi Hendrix,12.0,4.0,4.0,25.0,18.0,8.0,11.0,9.0,81.0,14.0,25.0,0.0,9.0,5.0,2.0,4.0,29.0,28.0,9.0,16.0,0.0,79.0,20.0,11.0,423.0,81.0,C#_major
Fall Out Boy,21.0,7.0,2.0,11.0,10.0,30.0,23.0,3.0,10.0,5.0,45.0,11.0,0.0,18.0,27.0,10.0,7.0,6.0,20.0,22.0,4.0,16.0,11.0,0.0,319.0,45.0,D_major
Pearl Jam,33.0,7.0,9.0,2.0,5.0,20.0,32.0,0.0,6.0,3.0,35.0,3.0,2.0,7.0,14.0,11.0,1.0,3.0,1.0,36.0,0.0,5.0,2.0,0.0,237.0,36.0,G_major
AC/DC,60.0,3.0,2.0,1.0,4.0,5.0,15.0,1.0,13.0,2.0,35.0,0.0,4.0,10.0,6.0,4.0,1.0,2.0,1.0,18.0,2.0,9.0,0.0,0.0,198.0,60.0,A_major
Depeche Mode,4.0,11.0,4.0,14.0,4.0,7.0,24.0,7.0,10.0,7.0,13.0,13.0,0.0,3.0,7.0,5.0,5.0,4.0,10.0,18.0,3.0,5.0,5.0,2.0,185.0,24.0,C_major
Moby,80.0,161.0,61.0,17.0,19.0,173.0,254.0,52.0,53.0,29.0,243.0,66.0,6.0,72.0,213.0,79.0,44.0,10.0,53.0,304.0,32.0,69.0,13.0,10.0,2113.0,304.0,G_major
Bob Dylan,85.0,19.0,42.0,5.0,27.0,19.0,107.0,4.0,31.0,6.0,83.0,13.0,26.0,71.0,14.0,45.0,11.0,9.0,7.0,129.0,2.0,42.0,2.0,2.0,801.0,129.0,G_major
Usher,8.0,6.0,0.0,9.0,0.0,4.0,11.0,6.0,12.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,10.0,8.0,5.0,2.0,6.0,14.0,4.0,1.0,121.0,14.0,G#_major
50 Cent,18.0,3.0,3.0,33.0,21.0,27.0,11.0,5.0,55.0,21.0,27.0,8.0,2.0,1.0,19.0,3.0,11.0,17.0,27.0,24.0,7.0,5.0,17.0,12.0,377.0,55.0,C#_major
The Kooks,7.0,23.0,0.0,9.0,16.0,20.0,13.0,2.0,22.0,7.0,32.0,4.0,4.0,18.0,9.0,5.0,1.0,18.0,15.0,33.0,4.0,7.0,14.0,0.0,283.0,33.0,G_major
Placebo,1.0,3.0,9.0,12.0,4.0,3.0,6.0,4.0,11.0,1.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,4.0,1.0,1.0,2.0,17.0,5.0,3.0,108.0,17.0,G#_major
Avril Lavigne,8.0,1.0,5.0,0.0,0.0,0.0,3.0,2.0,4.0,5.0,5.0,0.0,1.0,3.0,3.0,4.0,1.0,3.0,2.0,7.0,1.0,3.0,1.0,0.0,62.0,8.0,A_major
Chris Brown,9.0,11.0,21.0,25.0,9.0,38.0,29.0,7.0,23.0,35.0,14.0,10.0,3.0,4.0,10.0,9.0,39.0,13.0,12.0,18.0,20.0,10.0,19.0,8.0,396.0,39.0,F_minor
Christopher Brown,3.0,4.0,0.0,4.0,3.0,0.0,8.0,3.0,5.0,5.0,4.0,3.0,1.0,2.0,2.0,6.0,3.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,68.0,8.0,C_major
Incubus,34.0,11.0,3.0,3.0,12.0,16.0,30.0,9.0,9.0,11.0,30.0,1.0,0.0,9.0,13.0,4.0,0.0,2.0,10.0,20.0,4.0,7.0,0.0,0.0,238.0,34.0,A_major
Massive Attack,13.0,12.0,0.0,6.0,2.0,8.0,15.0,7.0,12.0,10.0,10.0,12.0,0.0,2.0,17.0,4.0,9.0,10.0,11.0,13.0,1.0,12.0,5.0,4.0,195.0,17.0,E_minor
Arcade Fire,8.0,0.0,3.0,3.0,6.0,4.0,11.0,5.0,2.0,3.0,7.0,0.0,2.0,4.0,1.0,6.0,0.0,3.0,12.0,14.0,3.0,11.0,0.0,0.0,108.0,14.0,G_major
Korn,37.0,5.0,8.0,8.0,2.0,31.0,17.0,2.0,20.0,20.0,43.0,3.0,2.0,10.0,15.0,18.0,5.0,2.0,3.0,24.0,7.0,7.0,2.0,0.0,291.0,43.0,D_major
Jack Johnson,12.0,6.0,9.0,6.0,27.0,5.0,36.0,5.0,7.0,6.0,33.0,0.0,5.0,11.0,3.0,18.0,3.0,3.0,15.0,37.0,3.0,4.0,3.0,1.0,258.0,37.0,G_major
3 Doors Down,9.0,17.0,5.0,4.0,2.0,12.0,36.0,6.0,3.0,3.0,12.0,3.0,1.0,5.0,15.0,4.0,9.0,0.0,1.0,18.0,0.0,9.0,0.0,1.0,175.0,36.0,C_major
Amy Winehouse,12.0,20.0,12.0,18.0,4.0,25.0,39.0,11.0,6.0,26.0,18.0,5.0,3.0,13.0,7.0,8.0,21.0,4.0,9.0,14.0,8.0,5.0,16.0,0.0,304.0,39.0,C_major
Bloc Party,8.0,23.0,3.0,15.0,6.0,14.0,31.0,1.0,10.0,18.0,22.0,9.0,3.0,7.0,11.0,20.0,7.0,5.0,11.0,23.0,3.0,2.0,3.0,0.0,255.0,31.0,C_major
OutKast,12.0,6.0,4.0,17.0,8.0,23.0,21.0,4.0,44.0,9.0,19.0,5.0,0.0,4.0,14.0,7.0,10.0,11.0,15.0,21.0,3.0,7.0,5.0,0.0,269.0,44.0,C#_major
Elton John,49.0,42.0,127.0,41.0,13.0,26.0,151.0,22.0,62.0,12.0,61.0,13.0,49.0,31.0,9.0,87.0,14.0,183.0,24.0,102.0,21.0,57.0,3.0,16.0,1215.0,183.0,F#_major
Yeah Yeah Yeahs,26.0,9.0,6.0,0.0,3.0,7.0,12.0,0.0,3.0,0.0,12.0,0.0,0.0,1.0,14.0,0.0,3.0,3.0,0.0,20.0,0.0,5.0,3.0,0.0,127.0,26.0,A_major
P!nk,10.0,7.0,14.0,5.0,7.0,10.0,20.0,2.0,9.0,7.0,18.0,0.0,5.0,7.0,6.0,11.0,5.0,6.0,0.0,29.0,3.0,13.0,0.0,4.0,198.0,29.0,G_major
Snoop Dogg,50.0,18.0,7.0,73.0,45.0,75.0,49.0,10.0,151.0,32.0,66.0,7.0,0.0,11.0,47.0,16.0,30.0,49.0,47.0,101.0,3.0,42.0,17.0,10.0,956.0,151.0,C#_major
Kid Cudi,9.0,21.0,7.0,16.0,15.0,27.0,17.0,3.0,24.0,3.0,15.0,3.0,0.0,3.0,10.0,1.0,8.0,8.0,18.0,18.0,10.0,12.0,3.0,2.0,253.0,27.0,B_minor
Kesha,1.0,0.0,2.0,2.0,2.0,4.0,8.0,0.0,3.0,2.0,6.0,0.0,2.0,2.0,1.0,6.0,4.0,1.0,2.0,4.0,4.0,4.0,0.0,0.0,60.0,8.0,C_major
Paramore,7.0,0.0,2.0,1.0,3.0,7.0,9.0,1.0,7.0,11.0,7.0,3.0,3.0,9.0,1.0,5.0,5.0,10.0,5.0,4.0,2.0,12.0,0.0,0.0,114.0,12.0,G#_major
Queens of the Stone Age,23.0,12.0,4.0,17.0,2.0,24.0,19.0,6.0,14.0,4.0,27.0,0.0,2.0,7.0,17.0,20.0,7.0,5.0,0.0,13.0,2.0,10.0,4.0,2.0,241.0,27.0,D_major
Papa Roach,12.0,26.0,12.0,6.0,12.0,11.0,10.0,11.0,20.0,16.0,31.0,11.0,6.0,8.0,11.0,5.0,10.0,7.0,17.0,23.0,7.0,25.0,4.0,4.0,305.0,31.0,D_major
Mariah Carey,24.0,15.0,32.0,13.0,8.0,17.0,29.0,7.0,46.0,18.0,18.0,6.0,11.0,23.0,7.0,18.0,27.0,23.0,28.0,35.0,21.0,35.0,6.0,4.0,471.0,46.0,C#_major
John Mayer,28.0,2.0,7.0,2.0,2.0,5.0,9.0,0.0,3.0,8.0,32.0,0.0,0.0,8.0,2.0,24.0,7.0,2.0,8.0,26.0,2.0,7.0,0.0,0.0,184.0,32.0,D_major
Black Sabbath,13.0,10.0,9.0,11.0,15.0,20.0,14.0,3.0,44.0,14.0,25.0,4.0,2.0,13.0,7.0,5.0,10.0,36.0,5.0,16.0,5.0,35.0,7.0,39.0,362.0,44.0,C#_major
Kasabian,30.0,14.0,4.0,8.0,6.0,22.0,18.0,11.0,7.0,7.0,24.0,11.0,0.0,3.0,21.0,10.0,8.0,5.0,9.0,34.0,10.0,6.0,6.0,0.0,274.0,34.0,G_major
The Beach Boys,131.0,29.0,50.0,24.0,83.0,14.0,82.0,17.0,118.0,23.0,95.0,2.0,52.0,111.0,8.0,89.0,12.0,68.0,13.0,93.0,8.0,88.0,10.0,13.0,1233.0,131.0,A_major
Kelly Clarkson,25.0,13.0,16.0,10.0,12.0,12.0,25.0,3.0,12.0,4.0,10.0,5.0,1.0,12.0,6.0,9.0,7.0,12.0,4.0,33.0,14.0,29.0,3.0,1.0,278.0,33.0,G_major
T.I.,23.0,14.0,7.0,28.0,12.0,34.0,27.0,10.0,98.0,25.0,51.0,6.0,1.0,3.0,20.0,8.0,13.0,14.0,33.0,44.0,7.0,41.0,7.0,9.0,535.0,98.0,C#_major
Keane,22.0,12.0,9.0,4.0,3.0,11.0,22.0,13.0,13.0,1.0,16.0,9.0,9.0,14.0,0.0,13.0,1.0,4.0,1.0,19.0,6.0,10.0,4.0,0.0,216.0,22.0,A_major
Eric Clapton,144.0,23.0,6.0,11.0,10.0,28.0,86.0,2.0,7.0,10.0,86.0,11.0,1.0,62.0,30.0,32.0,4.0,11.0,3.0,114.0,12.0,2.0,3.0,0.0,698.0,144.0,A_major
